date,open,high,low,close,volume,amount
2025-08-14,74.3755,75.3034,72.8616,73.4477,31970460.0,2421825243.0
2025-08-15,72.471,73.9848,71.6408,73.057,30543394.0,2272442585.0
2025-08-18,72.5686,73.7407,71.2989,71.9826,35017528.0,2598878431.0
2025-08-19,71.9826,73.8383,71.0059,72.2756,29924348.0,2217415122.0
2025-08-20,70.9571,70.9571,67.441,70.2246,62430963.0,4420215779.0
2025-08-21,70.2246,71.5919,69.4432,70.078,30745796.0,2213842426.0
2025-08-22,70.2246,73.5453,67.5875,73.1546,80053212.0,5873221451.0
2025-08-25,74.6197,77.5498,74.0337,76.9149,57713452.0,4504211657.0
2025-08-26,76.2801,77.9405,75.6941,77.2568,39264739.0,3101076260.0
2025-08-27,77.7451,79.259,73.936,74.6685,51237365.0,3982459678.0
2025-08-28,74.6685,75.3034,73.3011,74.6685,32913036.0,2506885641.0
2025-08-29,76.1824,76.1824,72.3245,73.5942,43210862.0,3262786884.0
2025-09-01,74.5709,75.8894,71.0059,71.8849,54979215.0,4072078458.0
2025-09-02,71.6408,71.7384,69.6385,70.078,45311666.0,3254869571.0
2025-09-03,70.6152,71.4454,69.8339,70.3222,28728171.0,2070626855.0
2025-09-04,71.0547,71.2989,67.5386,68.2712,49102188.0,3458922028.0
2025-09-05,68.3688,71.2501,68.1735,71.2501,66576369.0,4783643391.0
2025-09-08,70.8106,71.0059,67.8805,68.7595,60079579.0,4251626549.0
2025-09-09,69.3101,72.2594,68.966,71.7187,43155014.0,3134493587.0
2025-09-10,72.4069,73.9799,71.4238,72.8984,36515242.0,2712010032.0
2025-09-11,72.2103,72.8001,70.4898,72.1119,30229650.0,2203275095.0
2025-09-12,73.7341,74.9138,72.7018,73.9799,34433732.0,2587272012.0
2025-09-15,73.0459,75.6512,72.751,74.7172,37851428.0,2866040645.0
2025-09-16,75.2088,76.0936,73.5375,74.2748,24577089.0,1866517148.0
2025-09-17,74.2257,77.3716,73.9307,76.8801,59420789.0,4598735860.0
2025-09-18,76.8801,77.4208,74.2257,75.0613,49139140.0,3789126945.0
2025-09-19,75.2088,75.9953,72.2103,74.5206,50348893.0,3791874173.0
2025-09-22,69.8508,73.7341,69.8508,72.751,63106513.0,4621706698.0
2025-09-23,72.6035,72.9476,71.0305,72.8001,27696281.0,2026319261.0
2025-09-24,71.6695,76.9784,71.6695,75.5529,46324874.0,3543327876.0
2025-09-25,74.7664,78.2565,74.324,76.8309,38028175.0,2972962991.0
2025-09-26,76.7326,76.7326,73.8324,74.324,25536275.0,1953245539.0
2025-09-29,74.1273,77.7649,74.1273,77.5683,39104002.0,3061944741.0
2025-09-30,77.8632,83.5653,77.0767,83.1721,71891789.0,5898878251.0
2025-10-02,85.6299,91.037,85.3349,90.2997,76114124.0,6872182282.0
2025-10-03,89.5132,89.5132,85.6299,87.2029,39247860.0,3465882606.0
2025-10-06,87.2029,87.3012,85.1383,86.2197,16223092.0,1420146258.0
2025-10-08,85.5807,85.6299,83.2704,84.3027,22146122.0,1891565774.0
2025-10-09,84.401,88.3335,81.6974,87.3012,66738764.0,5819435106.0
2025-10-10,86.1706,87.1537,82.3856,82.4839,45664028.0,3896635889.0
2025-10-13,79.9769,81.3533,76.3394,79.0921,69344398.0,5557518490.0
2025-10-14,79.1413,80.9109,72.8984,73.7341,74381335.0,5722641212.0
2025-10-15,74.0782,75.7495,73.3409,75.2088,39646503.0,3010516803.0
2025-10-16,75.897,76.2411,74.029,74.7172,28141299.0,2143184150.0
2025-10-17,74.7172,74.7172,71.178,71.7187,41523666.0,3058744815.0
2025-10-20,74.7664,75.0122,71.7187,72.8493,25581920.0,1899833978.0
2025-10-21,74.2748,75.897,73.7833,74.2748,27577113.0,2102486119.0
2025-10-22,73.3409,73.6358,72.0628,72.5052,20700284.0,1533245430.0
2025-10-23,71.7679,72.751,70.3423,72.2103,26728434.0,1943928114.0
2025-10-24,73.8324,74.1765,72.6035,73.6849,18828643.0,1406945898.0
2025-10-27,75.7003,76.0444,74.3731,74.8155,26721925.0,2038127960.0
2025-10-28,75.7003,76.3885,74.1765,74.6681,29429618.0,2253609877.0
